Prompt Index,Temperature,Top_p,Presence Penalty,Frequency Penalty,Detector Score
0.0,0.00022874963468977327,0.30233257263183977,1.4406489868843162,0.834044009405148,27.0
1.0,0.00022874963468977327,0.30233257263183977,1.4406489868843162,0.834044009405148,18.0
2.0,0.00022874963468977327,0.30233257263183977,1.4406489868843162,0.834044009405148,20.0
3.0,0.00022874963468977327,0.30233257263183977,1.4406489868843162,0.834044009405148,40.0
0.0,0.3725204227553418,0.34556072704304774,0.1846771895375956,0.2935117816342261,100.0
1.0,0.3725204227553418,0.34556072704304774,0.1846771895375956,0.2935117816342261,100.0
2.0,0.3725204227553418,0.34556072704304774,0.1846771895375956,0.2935117816342261,100.0
3.0,0.3725204227553418,0.34556072704304774,0.1846771895375956,0.2935117816342261,100.0
0.0,1.4187380683399968,0.7647368589916009,0.3237218684253924,0.01543971196824212,100.0
1.0,1.4187380683399968,0.7647368589916009,0.3237218684253924,0.01543971196824212,100.0
2.0,1.4187380683399968,0.7647368589916009,0.3237218684253924,0.01543971196824212,100.0
3.0,1.4187380683399968,0.7647368589916009,0.3237218684253924,0.01543971196824212,100.0
0.0,0.0,0.27646049602094963,1.858676970729055,1.023099796519727,22.0
1.0,0.0,0.27646049602094963,1.858676970729055,1.023099796519727,0.0
2.0,0.0,0.27646049602094963,1.858676970729055,1.023099796519727,10.0
3.0,0.0,0.27646049602094963,1.858676970729055,1.023099796519727,11.0
